PERMNO,date,VOL,RET,vwretd,ewretd,sprtrn
18542,20080220,4718200,0.012074,0.008862,0.005108,0.008341
18542,20080221,5371100,-0.006456,-0.011838,-0.009669,-0.012867
18542,20080222,5233000,0.005509,0.006788,0.000398,0.007881
18542,20080225,5190100,0.015032,0.015084,0.013327,0.013813
18542,20080226,6204300,0.014533,0.008226,0.009598,0.006918
18542,20080227,7163200,0.012551,-0.000766,-0.000004,-0.000919
18542,20080228,6024500,0.00229,-0.007706,-0.008707,-0.008942
18542,20080229,8823400,-0.027692,-0.026141,-0.020156,-0.02709
18542,20080303,6105100,0.012028,-0.000421,-0.005173,0.000534
18542,20080304,7998400,-0.019945,-0.004786,-0.006713,-0.003448
18542,20080305,7259000,0.001533,0.006936,0.003282,0.005238
18542,20080306,5442500,-0.01531,-0.022016,-0.021415,-0.022014
18542,20080307,6961000,-0.012862,-0.008743,-0.00765,-0.00841
18542,20080310,7145900,-0.016037,-0.018204,-0.020818,-0.015463
18542,20080311,7781600,0.056607,0.035774,0.027089,0.03713
18542,20080312,14346100,0.036359,-0.007009,-0.004185,-0.008996
18542,20080313,8559600,0.005581,0.007298,0.007472,0.005127
18542,20080314,8571100,-0.011629,-0.020001,-0.018156,-0.020783
18542,20080317,8913500,-0.004412,-0.014935,-0.020958,-0.008959
18542,20080318,9405000,0.032366,0.039579,0.028541,0.04241
18542,20080319,7377400,-0.040848,-0.02608,-0.017066,-0.024287
18542,20080320,9260300,0.001221,0.021198,0.014587,0.023944
18542,20080324,5373900,0.029938,0.017597,0.02172,0.015321
18542,20080325,5211500,0.008023,0.005734,0.010894,0.002304
18542,20080326,7499200,0.009395,-0.006414,-0.002748,-0.008766
18542,20080327,7068300,-0.004266,-0.010132,-0.004629,-0.01146
18542,20080328,4421200,0.000779,-0.007968,-0.007239,-0.00795
18542,20080331,6068700,0.015566,0.005303,0.005286,0.005687
18542,20080401,9343300,0.021586,0.03213,0.020949,0.035896
18542,20080402,8160400,-0.01838,0.000373,0.003264,-0.001934
18542,20080403,7971500,-0.018342,0.002678,0.001723,0.001302
18542,20080404,4885200,0.009861,0.00196,0.00279,0.000796
18542,20080407,5320800,-0.007452,0.001722,0.001831,0.001562
18542,20080408,4019000,0.004401,-0.003178,-0.002678,-0.0051
18542,20080409,4582900,-0.01843,-0.008984,-0.011449,-0.008092
18542,20080410,6994600,-0.005909,0.005614,0.00507,0.004474
18542,20080411,9044900,-0.012019,-0.019545,-0.015648,-0.020374
18542,20080414,4446900,0.009893,-0.002553,-0.00439,-0.003384
18542,20080415,5458700,0.005428,0.00508,0.002152,0.0046
18542,20080416,7640200,0.040421,0.024167,0.017917,0.022691
18542,20080417,9967300,-0.000886,-0.001209,-0.001984,0.000623
18542,20080418,20119900,0.085125,0.016558,0.01248,0.018139
18542,20080421,9818900,-0.022866,-0.000549,-0.001554,-0.001554
18542,20080422,5720100,-0.015841,-0.00927,-0.01282,-0.00881
18542,20080423,4773400,-0.003902,0.001117,0.002103,0.0029
18542,20080424,5305800,0.001591,0.005065,0.007875,0.006442
18542,20080425,4088900,0.005255,0.006924,0.0057,0.006495
18542,20080428,4684300,0.009483,0.000256,0.003713,-0.001052
18542,20080429,4510200,-0.018307,-0.005672,-0.004852,-0.003889
18542,20080430,6032700,0.004539,-0.001534,0.00172,-0.003846
18542,20080501,5369800,0.00574,0.014538,0.010972,0.017141
18542,20080502,4511400,0.005465,0.003253,0.000372,0.003236
18542,20080505,3944400,-0.000604,-0.002632,-0.001149,-0.004534
18542,20080506,4163100,0.005801,0.008433,0.006279,0.007652
18542,20080507,4932000,-0.019224,-0.015897,-0.011596,-0.018114
18542,20080508,3065500,0.009678,0.004613,0.002007,0.003669
18542,20080509,3819200,-0.008008,-0.004573,-0.000632,-0.006725
18542,20080512,5167300,0.025196,0.011,0.0108,0.011021
18542,20080513,4592200,0.002983,0.000771,0.002637,-0.000385
18542,20080514,6859800,-0.015701,0.003051,0.002006,0.004006
18542,20080515,4633200,0.009063,0.011151,0.008123,0.010585
18542,20080516,5241900,0.002395,0.002437,0.001134,0.00125
18542,20080519,6906700,0.00693,-0.000199,-0.000465,0.000898
18542,20080520,5570200,-0.005221,-0.005974,-0.003441,-0.009274
18542,20080521,7220300,-0.005248,-0.015343,-0.00903,-0.016053
18542,20080522,5026800,-0.014149,0.002912,0.003284,0.002617
18542,20080523,5674800,-0.008149,-0.011544,-0.007284,-0.01321
18542,20080527,4871400,0.004905,0.0049,0.006128,0.006846
18542,20080528,4773700,0.015131,0.005714,0.003516,0.003963
18542,20080529,4195900,-0.004929,0.004381,0.005273,0.005335
18542,20080530,4921700,-0.001691,0.003259,0.004897,0.001516
18542,20080602,5882800,-0.003751,-0.008999,-0.008327,-0.010504
18542,20080603,4960100,0.001093,-0.004852,-0.001827,-0.005788
18542,20080604,5743600,0.000485,-0.000893,0.00137,-0.000327
18542,20080605,6968200,0.003274,0.020245,0.014712,0.019496
18542,20080606,9445100,-0.03312,-0.026691,-0.019843,-0.030889
18542,20080609,5828800,0.010251,-0.000578,-0.007748,0.000794
18542,20080610,5986500,-0.008786,-0.004987,-0.005347,-0.002438
18542,20080611,9401000,-0.014607,-0.015188,-0.01496,-0.016894
18542,20080612,8053500,0.019891,0.001445,0.001061,0.00328
18542,20080613,5732400,0.012422,0.014697,0.012216,0.015046
18542,20080616,4537600,-0.007239,0.003271,0.005438,0.000081
18542,20080617,4515900,-0.002719,-0.003933,-0.004316,-0.006771
18542,20080618,5739200,-0.012269,-0.008274,-0.008334,-0.009712
18542,20080619,6049100,-0.00276,0.002409,0.002759,0.003752
18542,20080620,9065500,-0.005033,-0.017481,-0.013799,-0.018543
18542,20080623,6141000,0.011634,-0.000847,-0.008986,0.000053
18542,20080624,13075300,-0.042,-0.006222,-0.009818,-0.002815
18542,20080625,8075100,-0.000783,0.006262,0.007374,0.005843
18542,20080626,14485800,-0.030034,-0.02619,-0.01921,-0.029365
18542,20080627,11011800,-0.007135,-0.002492,-0.005735,-0.003717
18542,20080630,6664800,0.000949,-0.001021,-0.005703,0.001267
